id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 1.6 I:1							
159263	l	l 	l(I)	l (I)	prep.	to	Superscription of the tablet: l bˤl 'To/Of Baal'.
159264	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.6 I:2							
159265	ġr	ġr  	ġr(III)/	ġr (III)	n. m. sg. abs. acc.	skin	Mourning rites of Anat = 1.5 VI:17-22 (El), with 3 f. sg. verbs.
159266	b	b 	b	b	prep.	with	
159267	abn	ab<n>    	abn/	ảbn	n. f. sg. abs. gen.	stone	EUPT genders m.
159268	td	td  	!t!(yd(y(II)[	/y-d-y/ (II)	vb G prefc. 3 f. sg.	to rip, scratch	= tdy with final y elided; cf. ydy 1.5 VI:18.
159269	psltm	psltm [ ]  	psl(t(I)/tm	pslt (I)	n. f. du. abs. acc.	braid, plait	UNP: 'double-slits'; TCS: 'incisions'.
159270	b	[b ] 	b	b	prep.	with	
159271	yˤr	[yʿr]	yˤr(I)/	yʕr (I)	n. m. sg. abs. gen.	razor	
# KTU 1.6 I:3							
159272	thdy	thdy  	!t!hdy[	/h-d-y/	vb G prefc. 3 f. sg.	to lacerate (oneself)	
159273	lḥm	lḥm  	lḥ(I)/m	lḥ (I)	n. f. du. abs. acc.	cheek	
159274	w	w 	w	w	conj.	and	
159275	dqn	dqn  	dqn(I)/	dqn (I)	n. m. sg. abs. acc.	beard	
159276	tṯlṯ	t[ṯ]l[ṯ]	!t!ṯlṯ[:d	/ṯ-l-ṯ/	vb D prefc. 3 f. sg.	to repeat for the third time	
# KTU 1.6 I:4							
159277	qn	qn  	qn/	qn	n. m. sg. cstr. acc.	cane	qn ḏrˤh 'the cane of her arm' = upper arm (DULAT: 'humerus').
159278	ḏrˤh	ḏrʿh  	ḏrˤ(I)/+h=	ḏrʕ (I)	n. f. sg. cstr. gen. + 3 f. sg. suff.	arm	
159278	ḏrˤh	ḏrʿh  	ḏrˤ(I)/+h=	ḏrʕ (I)	n. f. du. cstr. gen. + 3 f. sg. suff.	arm	EUPT: du. (natural pair).
159279	tḥrṯ	tḥrṯ  	!t!ḥrṯ[	/ḥ-r-ṯ/	vb G prefc. 3 f. sg.	to plough	
159280	km	km  	km	km	prep.	like	1.5 VI:21 has k gn.
159281	gn	gn	gn(I)/	gn (I)	n. m. sg. abs. gen.	garden, orchard	1.5 VI:21 has k gn.
# KTU 1.6 I:5							
159282	ap	ap 	ap(II)/	ảp (II)	n. m. sg. cstr. acc.	front, entrance	ap lb 'front of the chest'; DULAT ảp (II) sense 4.
159283	lb	lb  	lb/	lb	n. m. sg. abs. gen.	heart	
159284	k	k 	k(I)	k (I)	prep.	like	
159285	ˤmq	ʿmq  	ˤmq(I)/	ʕmq (I)	n. m. sg. abs. gen.	valley	
159286	tṯlṯ	tṯlṯ  	!t!ṯlṯ[:d	/ṯ-l-ṯ/	vb D prefc. 3 f. sg.	to repeat for the third time	
159287	bmt	bmt	bm(t/t	bmt	n. f. sg. abs. acc.	back, rump, loin	
# KTU 1.6 I:6							
159288	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. nom.	Baʿlu/Baal	
159289	mt	mt  	mt[	/m-t/	vb G suffc. 3 m. sg.	to die	'Baal is dead!' = 1.5 VI:23-25.
159290	my	my  	my(I)	my (I)	pn. interr.	who?, what?	TCS: 'what (is to become of) the people'.
159291	lim	lim  	lim(I)/	lỉm (I)	n. m. sg. abs. nom.	people, clan	TCS: 'what (is to become of) the people'.
159292	bn	bn 	bn(I)/	bn (I)	n. m. sg. cstr. nom.	son	bn dgn 'Son of Dagan' (epithet of Baal).
159293	dgn	dgn	dgn(II)/	dgn (II)	DN m. sg. abs. gen.	Dagan	
# KTU 1.6 I:7							
159294	my	my  	my(I)	my (I)	pn. interr.	who?, what?	
159295	hmlt	hmlt  	hml(t/t=	hmlt	n. f. pl. tant. abs. nom.	multitude	
159296	aṯr	aṯr  	aṯr(I)	ảṯr (I)	prep.	after	
159297	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
159298	nrd	nrd	!n!(yrd[	/y-r-d/	vb G prefc. 1 c. pl.	to go down	'After Baal we shall descend'; 1.5 VI:25 parallel has ard (1 c. sg.).
# KTU 1.6 I:8							
159299	b	b 	b	b	prep.	in	
159300	arṣ	arṣ  	arṣ/	ảrṣ	n. f. sg. abs. gen.	earth	
159301	ˤmh	ʿmh  	ˤm(I)+h	ʕm (I)	prep. + 3 m. sg. suff.	with	'with him goes down the Lamp of the gods'.
159302	trd	trd  	!t!(yrd[	/y-r-d/	vb G prefc. 3 f. sg.	to go down	
159303	nrt	nrt	nr(t(I)/t	nrt (I)	n. f. sg. cstr. nom.	lamp	
# KTU 1.6 I:9							
159304	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	nrt ilm špš 'the Lamp of the gods, Šapšu'.
159305	špš	špš  	špš/	špš	DN f. sg. abs. nom.	Šapšu/Shapsh	DULAT lists only n. f. 'sun'; tagged DN as deity.
159306	ˤd	ʿd  	ˤd(I)	ʕd (I)	conj.	until	DULAT cites ʕd tšbʕ bk here s.v. ʕd (I).
159307	tšbˤ	tšbʿ  	!t!šbˤ(II)[	/š-b-ʕ/ (II)	vb G prefc. 3 f. sg.	to be sated	
159308	bk	bk	!!bk(y[/	/b-k-y/	vb G inf. abs. gen.	to weep	'until she is sated with weeping'.
# KTU 1.6 I:10							
159309	tšt	tšt  	!t!št(y[	/š-t-y/	vb G prefc. 3 f. sg.	to drink	
159310	k	k 	k(I)	k (I)	prep.	like	
159311	yn	yn  	yn/	yn	n. m. sg. abs. gen.	wine	
159312	udmˤt	udmʿt  	!(ʔ&u!dmˤ(t/t=	dmʕt	n. f. pl. abs. acc.	tear	Prosthetic aleph (cf. Tagging conventions: udmʿth).
159313	gm	gm	g/~m	g	n. m. sg. + encl. -m	(loud) voice	gm = 'aloud' (adverbial -m).
# KTU 1.6 I:11							
159314	tṣḥ	tṣḥ  	!t!ṣḥ[	/ṣ-ḥ/	vb G prefc. 3 f. sg.	to exclaim	
159315	l	l 	l(I)	l (I)	prep.	to	
159316	nrt	nrt  	nr(t(I)/t	nrt (I)	n. f. sg. cstr. gen.	lamp	
159317	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
159318	špš	špš	špš/	špš	DN f. sg. abs. gen.	Šapšu/Shapsh	
# KTU 1.6 I:12							
159319	ˤms	ʿms  	!!ˤms[	/ʕ-m-s/	vb G impv. f. sg.	to load	'Load on me Mightiest Baal' (Anat to Šapšu).
159319	ˤms	ʿms  	!!ˤms[:d	/ʕ-m-s/	vb D impv. f. sg.	to load	EUPT: D-stem (unwritten gemination; both viable).
159320	mˤ	mʿ  	mˤ(I)	mʕ (I)	postpositional emph. adv.	please!	DULAT cites mʕ (I) here.
159321	ly	ly  	l(I)+y	l (I)	prep. + 1 c. sg. suff.	to, for	
159322	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. acc.	The Very / Most Powerful	
159323	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. acc.	Baʿlu/Baal	
# KTU 1.6 I:13							
159324	tšmˤ	tšmʿ  	!t!šmˤ[	/š-m-ʕ/	vb G prefc. 3 f. sg.	to hear	
159325	nrt	nrt  	nr(t(I)/t	nrt (I)	n. f. sg. cstr. nom.	lamp	
159326	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
159327	špš	špš	špš/	špš	DN f. sg. abs. nom.	Šapšu/Shapsh	
# KTU 1.6 I:14							
159328	tšu	tšu  	!t!(nš(ʔ[&u	/n-š-ʔ/	vb G prefc. 3 f. sg.	to raise, lift	
159329	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. acc.	The Very / Most Powerful	
159330	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. acc.	Baʿlu/Baal	
159331	l	l 	l(I)	l (I)	prep.	onto	
159332	ktp	ktp	ktp(I)/	ktp (I)	n. f. sg. cstr. gen.	shoulder	
159332	ktp	ktp	ktp(I)/	ktp (I)	n. f. du. cstr. gen.	shoulder	EUPT: du. (natural pair).
# KTU 1.6 I:15							
159333	ˤnt	ʿnt  	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. gen.	ʿAnatu/Anat	
159334	k	k 	k(II)	k (II)	emph. functor	yes, indeed	DULAT cites k (II) here: l ktp ʕnt k tšth.
159335	tšth	tšth  	!t!št[+h	/š-t/	vb G prefc. 3 f. sg. + 3 m. sg. suff.	to place	'she places him (on the shoulder)'.
159336	tšˤlynh	tšʿlynh	!t!]š]ˤly[~n+h	/ʕ-l-y/	vb Š prefc. 3 f. sg. + 3 m. sg. suff.	to bring up	'she brings him up to the heights of Ṣapānu'.
# KTU 1.6 I:16							
159337	b	b 	b	b	prep.	in	
159338	ṣrrt	ṣrrt  	ṣrr(t/t	ṣrrt	n. f. sg. cstr. gen.	height(s)	
159339	ṣpˤn	ṣp{ʿ}n    	ṣp&ˤn/	ṣpn	TN/DN gen.	Ṣapānu/Zaphon	Scribal ṣpˤn for ṣpn (ˤ surface-only, marked &ˤ).
159340	tbkynh	tbkynh	!t!bky[~n+h	/b-k-y/	vb G prefc. 3 f. sg. + 3 m. sg. suff.	to weep	'she bewails him'.
# KTU 1.6 I:17							
159341	w	w 	w	w	conj.	and	
159342	tqbrnh	tqbrnh  	!t!qbr[~n+h	/q-b-r/	vb G prefc. 3 f. sg. + 3 m. sg. suff.	to bury	'and buries him'.
159343	tštnn	tštnn  	!t!št[+nn	/š-t/	vb G prefc. 3 f. sg. + 3 m. sg. suff.	to place	Suffix +nn (3 m. sg.).
159344	b	b 	b	b	prep.	in	
159345	ḫrt	ḫrt	ḫr(t/t	ḫrt	n. f. sg. cstr. gen.	cave, grave	= 1.5 V:5-6 ḫrt ilm arṣ.
# KTU 1.6 I:18							
159346	ilm	ilm  	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	ḫrt ilm arṣ 'grave of the gods of the underworld'.
159347	arṣ	arṣ  	arṣ/	ảrṣ	n. f. sg. abs. gen.	earth, underworld	
159348	tṭbḫ	tṭbḫ  	!t!ṭbḫ[	/ṭ-b-ḫ/	vb G prefc. 3 f. sg.	to slaughter, sacrifice	Subject Anat; prefc. (not suffc.).
159349	šbˤm	šbʿm	šbˤm/	šbʕm	num.	seventy	
# KTU 1.6 I:19							
159350	rumm	rumm  	rum/m	rủm	n. m. pl. abs. acc.	wild bull	
159351	k	k 	k(I)	k (I)	prep.	as	
159352	gmn	gmn  	gmn(I)/	gmn (I)	n. m. sg. cstr. gen.	funeral offering	k gmn aliyn bˤl 'as a funeral offering for Mightiest Baal'.
159353	aliyn	aliyn 	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
# KTU 1.6 I:20							
159354	bˤl	bʿl  	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
159355	tṭbḫ	tṭbḫ  	!t!ṭbḫ[	/ṭ-b-ḫ/	vb G prefc. 3 f. sg.	to slaughter, sacrifice	
159356	šbˤm	šbʿm  	šbˤm/	šbʕm	num.	seventy	
159357	alpm	alpm	alp(I)/m	ảlp (I)	n. m. pl. abs. acc.	(head of) cattle	
# KTU 1.6 I:21							
159358	k	[k ] 	k(I)	k (I)	prep.	as	
159359	gmn	gmn  	gmn(I)/	gmn (I)	n. m. sg. cstr. gen.	funeral offering	
159360	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
159361	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.6 I:22							
159362	tṭbḫ	[tṭ]bḫ    	!t!ṭbḫ[	/ṭ-b-ḫ/	vb G prefc. 3 f. sg.	to slaughter, sacrifice	
159363	šbˤm	šbʿm  	šbˤm/	šbʕm	num.	seventy	
159364	ṣin	ṣin	ṣin(I)/	ṣỉn (I)	n. f. sg. abs. acc.	ewe(s), small cattle	
# KTU 1.6 I:23							
159365	k	[k ] 	k(I)	k (I)	prep.	as	
159366	gmn	[g]mn    	gmn(I)/	gmn (I)	n. m. sg. cstr. gen.	funeral offering	
159367	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
159368	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.6 I:24							
159369	tṭbḫ	[tṭ]bḫ    	!t!ṭbḫ[	/ṭ-b-ḫ/	vb G prefc. 3 f. sg.	to slaughter, sacrifice	
159370	šbˤm	šbʿm  	šbˤm/	šbʕm	num.	seventy	
159371	aylm	aylm	ayl(I)/m	ảyl (I)	n. m. pl. abs. acc.	deer	
# KTU 1.6 I:25							
159372	k	[k ] 	k(I)	k (I)	prep.	as	
159373	gmn	[gmn ]  	gmn(I)/	gmn (I)	n. m. sg. cstr. gen.	funeral offering	
159374	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
159375	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.6 I:26							
159376	tṭbḫ	[tṭbḫ  ]  	!t!ṭbḫ[	/ṭ-b-ḫ/	vb G prefc. 3 f. sg.	to slaughter, sacrifice	
159377	šbˤm	[š]bʿm    	šbˤm/	šbʕm	num.	seventy	
159378	yˤlm	yʿlm	yˤl(I)/m	yʕl (I)	n. m. pl. abs. acc.	mountain goat	
# KTU 1.6 I:27							
159379	k	[k ] 	k(I)	k (I)	prep.	as	
159380	gmn	[gmn  ]  	gmn(I)/	gmn (I)	n. m. sg. cstr. gen.	funeral offering	
159381	aliyn	[al]iyn    	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
159382	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.6 I:28							
159383	tṭbḫ	[tṭbḫ  ]  	!t!ṭbḫ[	/ṭ-b-ḫ/	vb G prefc. 3 f. sg.	to slaughter, sacrifice	
159384	šbˤm	[šbʿm  ]  	šbˤm/	šbʕm	num.	seventy	
159385	yḥmrm	[y]ḥmrm	yḥmr/m	yḥmr	n. m. pl. abs. acc.	roebuck	
# KTU 1.6 I:29							
159386	k	[k ] 	k(I)	k (I)	prep.	as	
159387	gmn	[gm]n    	gmn(I)/	gmn (I)	n. m. sg. cstr. gen.	funeral offering	
159388	aliyn	aliyn  	aliyn/	ảlỉyn	adj. m. sg. abs. gen.	The Very / Most Powerful	
159389	bˤl	bʿl	bˤl(II)/	bʕl (II)	DN m. sg. abs. gen.	Baʿlu/Baal	
# KTU 1.6 I:30							
159390	b	[b ] 	b	b	prep.	in	
159391	špḥh	[š]pḥh    	špḥ/+h=	špḥ	n. m. sg. cstr. gen. + 3 f. sg. suff.	family, offspring	DULAT: [b š]pḥh '[before] her clan' (Anat).
159392	pšt	pšt 	?	?	?	?	Crux: CUC pštbm; DULAT reads t!tbm (s.v. špḥ); p + št 'and (she) placed'? Cf. /y-b-m/ cited for this passage.
159393	bm	bm  	b~m	b	prep. + encl. -m	in	
159394	ˤnt	ʿn[t]	ˤn(t(I)/t	ʕnt (I)	DN f. sg. abs. nom.	ʿAnatu/Anat	
# KTU 1.6 I:31							
159395	kd	[kd  ]  	kd(II)	kd (II)	conj.	as, since	
159396	ġzrh	ġzrh  	ġzr/+h	ġzr	n. m. sg. cstr. + 3 m. sg. suff.	lad, hero	
159397	ybm	ybm  	ybm/	ybm	n. m. sg. abs.	brother-in-law	DULAT: ybm l ilm 'brother-in-law of the gods'.
159398	l	l 	l(I)	l (I)	prep.	to, of	
159399	ilm	ilm 	il(I)/m	ỉl (I)	n. m. pl. abs. gen.	god	
# KTU 1.6 I:32							
159400	idk	[id]k    	idk	ỉdk	narrative adv. functor	then	Journey formula: idk l ttn pnm (cf. 1.5 I:10, II:14).
159401	l	l 	l(III)	l (III)	functor	certainly	Journey formula: idk l ttn pnm (cf. 1.5 I:10, II:14).
159402	ttn	ttn   	!t!(ytn[	/y-t-n/	vb G prefc. 3 f. sg.	to give, set	Subject Šapšu or Anat.
159403	pnm	pnm  	pn(m/m	pnm	n. m. pl. tant. abs. acc.	face	
159404	ˤm	ʿm	ˤm(I)	ʕm (I)	prep.	to, towards	
# KTU 1.6 I:33							
159405	il	[i]l    	il(I)/	ỉl (I)	DN m. sg. abs. gen.	ʾIlu/El	
159406	mbk	mbk 	mbk/	mbk	n. m. sg./du. cstr. gen.	source, spring	mbk nhrm 'the springs of the two rivers'.
159407	nhrm	nhrm  	nhr/m	nhr	n. m. du. abs. gen.	river	
159408	qrb	qrb	qrb/	qrb	n. m. sg. cstr. gen.	inside, midst	
# KTU 1.6 I:34							
