id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.21 1							
176439	tḥm	[tḥm  ]  	tḥm/	tḥm	n. m. sg. cstr. nom.	message	Diplomatic heading: “Message of the king of Amurru.”
176440	mlk	[m]lk[  ]  	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	
176441	amr	[a]mr	amr(III)/	ảmr (III)	TN sg. abs. gen.	Amurru	The diplomatic heading and DULAT's territorial homonym identify Amurru, not common ảmr “order.”
# KTU 2.21 2							
176442	lmlkt	[l .]mlkt    	l(I) mlk(t/t	l (I) | mlkt	prep. | n. f. sg. cstr. gen.	to | queen	
176443	ugrt	ug[rt]	ugrt/	ủgrt	TN sg. abs. gen.	Ugarit	DULAT cites mlkt ủgrt, “queen of Ugarit.”
# KTU 2.21 3							
176444	aḫty	[a]ḫty    	aḫ(t(I)/t+y	ảḫt (I)	n. f. sg. cstr. gen. + 1 c. sg. suff.	my sister, peer	Formal address between royal women; DULAT directly cites this letter under “sister > friend.”
176445	rgm	rgm	!!rgm[	/r-g-m/	vb G impv. 2 f. sg.	to say	Epistolary directive to the queen: “my sister, say”; the feminine addressee supplies agreement.
# KTU 2.21 4							
176446	yšlm	[y]šlm    	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg. juss.	to be well	Tropper translates the standard greeting “may it be well with you.”
176447	lk	lk	l(I)+k=	l (I)	prep. + 2 f. sg. suff.	with you	Pronominal complement of the greeting; the addressee is the queen.
# KTU 2.21 5							
176448	ilm	[i]lm    	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	gods	Plural subject of the two blessing verbs (Tropper; epistolary formula).
176449	tšlmk	tšlmk	!t!šlm[:d:w+k=	/š-l-m/	vb D prefc. 3 m. pl. juss. + 2 f. sg. suff.	to restore or preserve health	“The gods grant you well-being”; agreement and feminine object follow the same formula in KTU 2.11, 2.13, and 2.16.
# KTU 2.21 6							
176450	tġrk	[t]ġrk	!t!(nġr[:w+k=	/n-ġ-r/	vb G prefc. 3 m. pl. juss. + 2 f. sg. suff.	to protect	Parallel blessing verb with plural gods as subject and the queen as feminine object; root-initial n is assimilated.
# KTU 2.21 7							
176451	hlny	hlny  	hlny	hlny	deictic adv. functor	behold	DULAT directly cites hlny before the named subject Ibrakḏ.
176452	ibrkḏ	ibrkḏ	ibrkḏ/	ỉbrkḏ	PN m. sg. abs. nom.	Ibrakḏ	Named subject of rgm; DULAT directly attests the personal name in this line.
# KTU 2.21 8							
176453	mkry	mkry  	mkr/+y	mkr	n. m. sg. cstr. nom. + 1 c. sg. suff.	my merchant	DULAT and Singer read “Ibrakḏ, my merchant.”
176454	rgm	rgm  	rgm[	/r-g-m/	vb G suffc. 3 m. sg.	to say, report	DULAT directly cites hlny PN rgm l skn with Ibrakḏ as subject.
176455	l	l 	l(I)	l (I)	prep.	to	
176456	skn	skn 	skn(I)/	s:śkn (I)	n. m. sg. cstr. gen.	manager, prefect	DULAT directly identifies the administrator; construct head before gt.
176457	gt	gt 	g(t/t	gt	n. f. sg. cstr. gen.	farmstead, vineyard estate	DULAT's “farmstead (press) of” and Singer's “vineyard” identify the queen's estate, governed through the construct chain.
# KTU 2.21 9							
176458	mlkt	mlkt  	mlk(t/t	mlkt	n. f. sg. cstr. gen.	queen	Possessor of the estate and construct head before Ugarit.
176459	ugrt	ugrt	ugrt/	ủgrt	TN sg. abs. gen.	Ugarit	
# KTU 2.21 10							
176460	hnkt	hnkt  	hnk&t	hnk(t)	dem. f. sg. abs. acc.	this, the following	Accusative object of rgmt: “the queen of Ugarit said the following.” Cunchillos argues explicitly for this pronominal function; Tropper also retains it alongside an adverbial interpretation.
176461	rgmt	rgmt	rgm[t===	/r-g-m/	vb G suffc. 3 f. sg.	to say	The queen is the explicit feminine singular subject; Tropper cites the clause as a finite feminine suffix-conjugation example.
# KTU 2.21 11							
176462	iky	iky  	iky	ỉky	interr. functor	why, how	Tropper §§81.63b, 89.32 treats -y as the prose particle extension.
