id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.38 1							
177569	l	l  	l(I)	l (I)	prep.	to	
177570	mlk	mlk  	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	DULAT cites the title “king of Ugarit.”
177571	ugrt	ugrt	ugrt/	ủgrt	TN sg. abs. gen.	Ugarit	
# KTU 2.38 2							
177572	aḫy	aḫy  	aḫ(I)/+y	ảḫ (I)	n. m. sg. cstr. nom. + 1 c. sg. suff.	3) brother > friend (formal usage in correspondence between equals)	Formal epistolary address “my brother”; Tropper §33.223.12 discusses this exact form.
177573	rgm	rgm	!!rgm[	/r-g-m/	vb G impv. 2 m. sg.	to say, tell, announce, communicate, inform	The epistolary address requires the opening imperative “say!”
# KTU 2.38 3							
177574	tḥm	tḥm  	tḥm/	tḥm	n. m. sg. cstr. nom.	message	
177575	mlk	mlk  	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	DULAT cites the title “king of Tyre.”
177576	ṣr	ṣr  	ṣr/	ṣr	TN sg. abs. gen.	Tyre	Genitive nomen rectum of mlk; DULAT cites this exact address.
177577	aḫk	aḫk	aḫ(I)/+k	ảḫ (I)	n. m. sg. cstr. gen. + 2 m. sg. suff.	brother (by blood)	
# KTU 2.38 4							
177578	yšlm	yšlm  	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg. juss.	to be well, do well, be in peace	Epistolary wish: “may it go well with you.”
177579	lk	lk  	l(I)+k	l (I)	prep. + 2 m. sg. suff.	to	
177580	ilm	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	“May the gods protect you and preserve your well-being.”
# KTU 2.38 5							
177581	tġrk	tġrk  	!t!(nġr[+k	/n-ġ-r/	vb G prefc. 3 m. pl. juss. + 2 m. sg. suff.	to protect, guard	Tropper §§33.115.44, 75.42 analyses tġr-k as 3 m. pl. jussive with assimilated root-initial n; DULAT's letter formula supplies the same interpretation.
177582	tšlmk	tšlmk	!t!šlm[:d+k	/š-l-m/	vb D prefc. 3 m. pl. juss. + 2 m. sg. suff.	to restore / preserve health	Tropper §74.412.27 and DULAT analyse the formula as D plural “may the gods grant you well-being”; Tania independently retains D.
# KTU 2.38 6							
177583	hnny	hnny  	hnny	hnny	adv.	here	DULAT lexicalizes the whole form.
177583	hnny	hnny  	hn~n~y	hnny	adv. + encl. -n + encl. -y	here	Tania's independent segmentation of the same epistolary adverb; DULAT lists hnny among the forms of hn.
177583	hnny	hnny  	hnn~y	hnny	adv. + encl. -y	here	Tropper §81.11c instead derives hnny from hnn plus enclitic -y; kept as a documented grammatical alternative.
177584	ˤmn	ʿmn	ˤm(I)+n	ʕm (I)	prep. + 1 c. sg. suff.	with me	Tropper §41.222.3 vocalizes ʕm-n “with me.”
# KTU 2.38 7							
