id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.27 1							
176724	ˤšt	ʿšt  	ˤšt/	ʕšt(y)	num. c.	one	DULAT cites this line under ʕšt(y), and Tropper §62.21 treats ʕšt as gender-indifferent.
176725	ˤšr	[ʿšr       ]       	ˤšr(I)/	ʕšr (I)	num. m. sg.	ten	Tropper §62.21 reads the compound numeral “eleven.”
# KTU 2.27 2							
176726	kst	kst[              ]              	ks(t/t=	kst	n. f. pl. abs.	a type of robe or cloak	“Eleven cloaks”; DULAT lists consonantally identical singular and plural forms.
# KTU 2.27 3							
176727	w	w  	w	w	conj.	and	
176728	g	g[          ]          	?	?	?	?	DULAT does not attest g here, and its noun “voice” does not fit the garment list.
# KTU 2.27 4							
176729	rx	rx[               ]               	?	?	?	?	
