id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.11 1							
176122	l	l 	l(I)	l (I)	prep.	to	
176123	umy	umy  	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	1) mother a) of men and gods	
176124	adtny	adtny	ad(t/t+ny	ảdt	n. f. sg. cstr. gen. + 1 c. du. suff.	lady	DULAT translates l ủmy ảdtny “to my mother, our Lady”; Tropper §41.223.1 identifies -ny as the 1 c. dual suffix, “lady of us both.”
# KTU 2.11 2							
176125	rgm	rgm	!!rgm[	/r-g-m/	vb G impv. 2 f. sg.	to say, tell, announce, communicate, inform	DULAT attests the letter-opening formula; the named addressee adtny “our Lady” establishes a feminine singular imperative.
# KTU 2.11 3							
176126	tḥm	tḥm  	tḥm/	tḥm	n. m. sg. cstr. nom.	message	
176127	tlmyn	tlmyn	tlmyn/	tlmyn	PN sg. abs. gen.	tlmyn	DULAT identifies tlmyn as a personal name and cites this letter.
# KTU 2.11 4							
176128	w	w  	w	w	conj.	and	
176129	aḫtmlk	aḫtmlk  	aḫtmlk/	ảḫtmlk	PN sg. abs. gen.	ảḫtmlk	DULAT identifies ảḫtmlk as a personal name at this line, coordinated with tlmyn.
176130	ˤbdk	ʿbdk	ˤbd(I)/+k=	ʕbd (I)	n. m. du. cstr. gen. + 2 f. sg. suff.	2) servant (said of a special class of mercenaries or subordinate employees)	DULAT translates tlmyn w ảḫtmlk ʕbdk “Talmiyānu and Aḫatmilku, your two servants”; the feminine suffix refers to adtny.
# KTU 2.11 5							
176131	l	l  	l(I)	l (I)	prep.	to	
176132	pˤn	pʿn  	pˤn/	pʕn	n. f. du. cstr. gen.	at the feet of	DULAT cites the exact formula l pʕn ... “at the feet of”; the referent is the paired feet.
176133	adtny	adtny	ad(t/t+ny	ảdt	n. f. sg. cstr. gen. + 1 c. du. suff.	lady	DULAT and Tropper §41.223.1 identify -ny as the 1 c. dual suffix.
# KTU 2.11 6							
176134	mrḥqtm	mrḥqtm	mrḥq(t/t~m	mrḥqt	n. f. sg. abs. acc. + encl. -m	distance, far away (place)	DULAT cites mrḥqtm in this formula with the sense “from afar.”
# KTU 2.11 7							
176135	qlny	qlny  	ql[ny	/q-l/	vb G suffc. 1 c. du.	to fall (down)	DULAT translates “from afar we fall”; Tropper §73.333.4 identifies qlny as G suffix conjugation 1 c. dual.
176136	ilm	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	DULAT reads the common plural “gods” here; Burns's semantic classification alone does not license a divine-name analysis.
# KTU 2.11 8							
176137	tġrk	tġrk	!t!(nġr[:w+k=	/n-ġ-r/	vb G prefc. 3 m. pl. + 2 f. sg. suff.	to protect	DULAT translates ỉlm tġrk “may the gods protect you”; the plural subject is ỉlm and the feminine object is adtny.
# KTU 2.11 9							
