id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.16 1							
176295	tḥm	tḥm 	tḥm/	tḥm	n. m. sg. cstr. nom.	message	Epistolary heading: “message of Talmiyanu” (DULAT formula).
176296	tlmyn	tlmyn  	tlmyn/	tlmyn	PN m. sg. abs. gen.	Talmiyanu	DULAT identifies the sender as the same PN as in KTU 2.11–2.12.
# KTU 2.16 2							
176297	l	l 	l(I)	l (I)	prep.	to	
176298	ṯryl	ṯryl 	ṯryl/	ṯryl	PN f. sg. abs. gen.	Ṯaryelli	Recipient after l, the queen/mother also addressed in KTU 2.14.
176299	umy	umy 	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	mother	“To Ṯaryelli, my mother.”
# KTU 2.16 3							
176300	rgm	rgm	!!rgm[	/r-g-m/	vb G impv. m. sg.	to say, tell, announce, communicate, inform	Epistolary imperative in tḥm PN l PN rgm.
# KTU 2.16 4							
176301	yšlm	yšlm  	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg. juss.	to be well, do well, be in peace	DULAT and Tropper read the epistolary wish yšlm lk, “may it go well with you.”
176302	lk	lk  	l(I)+k	l (I)	prep. + 2 f. sg. suff.	to you	The addressee is Ṯaryelli, hence feminine singular.
176303	ily	ily	il(I)/y	ỉl (I)	n. m. pl. cstr. nom.	god	Primary Tropper §§21.341.21b, 54.121.2 reading: construct plural “the gods of Ugarit,” with y as mater lectionis for the oblique-form ending used syntactically as nominative.
176303	ily	ily	il(I)/~y	ỉl (I)	n. m. pl. abs. nom. + encl. -y	god	Tropper §89.35 and Tania preserve the alternative il-y, with sentence-opening speech particle -y.
# KTU 2.16 5							
176304	ugrt	ugrt 	ugrt/	ủgrt	TN f. sg. abs. gen.	Ugarit	
176305	tġrk	tġrk 	!t!(nġr[:w+k=	/n-ġ-r/	vb G prefc. 3 m. pl. + 2 f. sg. suff.	to protect, guard	Compare the identical blessing in KTU 2.11 and Tropper §§54.121.2, 75.42.
# KTU 2.16 6							
176306	tšlmk	tšlmk   	!t!šlm[:d:w+k=	/š-l-m/	vb D prefc. 3 m. pl. + 2 f. sg. suff.	to restore / preserve health	DULAT and Tropper p. 555 analyse the epistolary formula with plural gods and a feminine recipient.
176307	umy	umy 	um/+y	ủm	n. f. sg. cstr. nom. + 1 c. sg. suff.	mother	DULAT and Tropper translate “my mother should know.”
# KTU 2.16 7							
