id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.20 1							
176400	tḥm	[tḥm  ]  	tḥm/	tḥm	n. m. sg. cstr. nom.	message	Diplomatic heading: “Message of the king of Carchemish.”
176401	mlk	[mlk  ]  	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	
176402	grgmš	[g]rgmš	grgmš/	grgmš	TN sg. abs. gen.	Carchemish	DULAT and the diplomatic heading support the territorial name.
# KTU 2.20 2							
176403	l	[l ] 	l(I)	l (I)	prep.	to	
176404	xxxx	[xxxx ] 	?	?	?	?	
176405	mlk	[m]lk    	mlk(I)/	mlk (I)	n. m. sg. cstr. gen.	king	“To [PN], king of Ugarit.”
176406	ugrt	ugrt  	ugrt/	ủgrt	TN sg. abs. gen.	Ugarit	
176407	rgm	rgm  	!!rgm[	/r-g-m/	vb G impv. 2 m. sg.	to say	Epistolary directive introducing the message body; infinitive encoding is excluded by the standard address formula.
176408	yšlm	yšlm [ ]  	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg. juss.	to be well	Standard epistolary wish yšlm lk, “may it be well with you.”
176409	lk	[lk]	l(I)+k	l (I)	prep. + 2 m. sg. suff.	with you	Pronominal complement in the greeting yšlm lk; recipient is masculine singular.
# KTU 2.20 3							
176410	xxxxxxxm	[xxxxxxx]m    	?	?	?	?	
176411	rgm	rgm	rgm/	rgm	n. m. sg.	voice, utterance	DULAT directly cites this attestation under sense 3, “voice.”
# KTU 2.20 4							
176412	xxxxxxšknt	[xxxxxx]šknt	?	?	?	?	DULAT identifies šknt under /š-k-n/, “assign,” but does not account for the entire written sequence.
# KTU 2.20 5							
176413	xxxxxxxxdy	[xxxxxxx]xdy	?	?	?	?	
# KTU 2.20 6							
176414	xxxxxxxxxk	[xxxxxxxxx]k	?	?	?	?	
# KTU 2.20 7							
176415	xxxxxxxxxm	[xxxxxxxxx]m[       ]       	?	?	?	?	
# KTU 2.20 8							
176416	x	x 	?	?	?	?	
176417	x	x 	?	?	?	?	
176418	x	x 	?	?	?	?	
176419	x	x 	?	?	?	?	
176420	nl	nl 	?	?	?	?	Not identified by DULAT; no independent line-level analysis is available.
176421	x	x 	?	?	?	?	
176422	x	x	?	?	?	?	
# KTU 2.20 9							
176423	yḥxxn	yḥxxn	?	?	?	?	
# KTU 2.20 10							
176424	k	k  	k(I)	k (I)	prep.	like	
176424	k	k  	k(II)	k (II)	emph. functor	yes, indeed	
176424	k	k  	k(III)	k (III)	subordinating or completive functor	that, when	
176425	xx	x[x ] 	?	?	?	?	
176426	x	[x ] 	?	?	?	?	
176427	x	[x ] 	?	?	?	?	
176428	x	[x]	?	?	?	?	
# KTU 2.20 11							
176429	w	w[ ] 	w	w	conj.	and	
176430	x	[x ] 	?	?	?	?	
176431	x	[x ] 	?	?	?	?	
176432	x	[x ] 	?	?	?	?	
176433	x	[x ] 	?	?	?	?	
176434	x	[x ] 	?	?	?	?	
176435	x	[x]	?	?	?	?	
# KTU 2.20 12							
176436	r	r[   ]   	?	?	?	?	
# KTU 2.20 13							
176437	x	x[       ]       	?	?	?	?	
# KTU 2.20 14							
176438	x	x[       ]       	?	?	?	?	
