id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.25 1							
176649	xxxkn	[xxx]kn[             ]             	?	?	?	?	
# KTU 2.25 2							
176650	adty	adty  	ad(t/t+y	ảdt	n. f. sg. cstr. + 1 c. sg. suff.	my lady	DULAT directly cites this occurrence.
176651	x	x[                ]                	?	?	?	?	
# KTU 2.25 3							
176652	lb	lb  	lb/	lb	n. m. sg. cstr. nom.	heart	DULAT directly cites lb ʕbd[k]; construct head in “the heart of your servant.”
176653	ˤbdk	ʿbd[k  ]  	ˤbd(I)/+k	ʕbd (I)	n. m. sg. cstr. gen. + 2 f. sg. suff.	your servant	The lady is the addressee, so -k is 2fs.
176654	al	[al        ]        	al(I)	ảl (I)	neg. functor	no, not	
# KTU 2.25 4							
176655	htm	htm  	ht~m	ht	adv. + encl. -m	now	Tropper §81.21b analyses the sole occurrence htm as ht plus emphatic -m and directly translates “now.”
176656	iph	iph  	!(ʔ&i!ph(y[	/p-h-y/	vb G prefc. 1 c. sg.	to see, visit	DULAT directly cites htm ỉph [ảdty]; Tropper §§73.233 and 75.31 parses G prefix conjugation 1cs, “now I shall see.”
176657	adty	[adty  ]  	ad(t/t+y	ảdt	n. f. sg. cstr. acc. + 1 c. sg. suff.	my lady	
176658	w	[w    ]    	w	w	conj.	and	
# KTU 2.25 5							
176659	tšṣḥq	tšṣḥq  	!t!]š]ṣḥq[	/ṣ-ḥ-q/	vb Š prefc. 3 f. sg.	to mock, make fun	“My lady” is the most immediate feminine subject; Tropper §74.422 nevertheless notes person ambiguity in the bare form.
176659	tšṣḥq	tšṣḥq  	!t==!]š]ṣḥq[	/ṣ-ḥ-q/	vb Š prefc. 2 f. sg.	to mock, make fun	Tropper explicitly allows second-person address, “you mock.”
176660	hn	hn  	hn	hn	functor	behold!	DULAT directly cites hn introducing the nominal exclamation “behold, a wife for the servant.”
176661	aṯt	aṯ[t  ]  	aṯ(t/t	ảṯt	n. f. sg. abs. nom.	wife, married woman	DULAT directly cites the noun after hn; it is the presented subject, not construct.
176662	l	[l  ]  	l(I)	l (I)	prep.	for	
176663	ˤbd	[ʿbd]	ˤbd(I)/	ʕbd (I)	n. m. sg. abs. gen.	servant	DULAT notes a proposed pronominal suffix, but none is written.
# KTU 2.25 6							
176664	šbˤt	šbʿt  	šbˤ(I)&t/	šbʕ (I)	num. f.	seven	DULAT cites the composite amount “seven and a half (shekels of) silver.”
176665	w	w  	w	w	conj.	and	
176666	nṣp	nṣp  	nṣp/	nṣp	n. m. sg. abs.	half a shekel	Tropper §§51.41e and 64.13 cite nṣp in “seven and a half shekels.”
176667	ksp	k[sp]	ksp/	ksp	n. m. sg. abs. gen.	silver	DULAT's expression understands “shekels.”
# KTU 2.25 7							
176668	ḫtm	ḫtm  	ḫtm/	ḫtm	PN m. sg.	Ḫtm	DULAT identifies this occurrence as an uncertain personal name.
176669	rb	rb[ ] 	rb(II)/	rb (II)	n. m. sg.	chief	The title “chief” follows the personal name.
176670	xxx	[xxx ] 	?	?	?	?	
176671	aḥd	[aḥd]	aḥd/	ảḥd	adj. m. sg.	one	
# KTU 2.25 8							
176672	mġt	mġt  	mġ(y[t	/m-ġ-y/	vb G suffc. 1 c. sg.	to come, arrive	
176673	xxxxt	x[xxxt  ]  	?	?	?	?	
176674	b	[b]	b	b	prep.	in	
# KTU 2.25 9							
176675		[                  ]                  	?	?	?	?	
176676	ġyt	[ġyt]	?	?	?	?	Absent from DULAT and otherwise unattested.
