id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.15 1							
176269	gnryn	gnryn	gnryn/	?	PN m. sg. abs. nom.	gnryn	The letter heading and the self-reference in line 7 identify gnryn as the sender's personal name; Tania independently tags PN, and DULAT translates the second occurrence as “I, PN” but has no dedicated lexeme entry.
# KTU 2.15 2							
176270	l	l 	l(I)	l (I)	prep.	to	DULAT cites l PN at this line.
176271	mlkytn	mlkytn	mlkytn/	mlkytn	PN m. sg. abs. gen.	mlkytn	DULAT cites the PN in the address l mlkytn; Tania agrees.
# KTU 2.15 3							
176272	ḥnny	ḥnny 	!!ḥn(n[+n~y	/ḥ-n-n/	vb G impv. m. sg. + 1 c. sg. suff. + encl. -y	to be / appear kind	DULAT translates ḥnny l pn mlk, “be kind to me before the king.” Tropper §§73.162, 89.34 analyses the imperative with 1cs object -n and speech-particle -y.
176273	l	l 	l(I)	l (I)	prep.	to	First element of lexicalized l pn “before”; DULAT cites the full phrase at this line.
176274	pn	pn 	pn(m/	pnm	n. m. pl. tant.	in front	DULAT cites ḥnny l pn mlk and treats pn as plurale-tantum pnm; Tania independently separates l and pn.
176275	mlk	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	1) king a) human sovereign in gen	DULAT and Tropper read l pn mlk, “before the king.”
# KTU 2.15 4							
176276	šink	šink 	šin/+k	šỉn	n. m. sg. cstr. acc. + 2 m. sg. suff.	2) rim (?)	DULAT assigns this uncertain attestation to šỉn sense 2, “rim (?).”
176277	itn	itn 	!(ʔ&i!(ytn[	/y-t-n/	vb G prefc. 1 c. sg.	to give, hand over, grant, bestow	Primary DULAT/Tropper (§§33.215.21b, 75.512) reading: unusually written G prefix conjugation 1 c. sg., “I will give.” Tania independently agrees.
176277	itn	itn 	!!&i(ytn[	/y-t-n/	vb G impv. m. sg.	to give, hand over, grant, bestow	Tropper §75.512 records a G imperative as an alternative; written initial i is treated as nonlexical in this orthographically unusual text.
# KTU 2.15 5							
