id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.10 1							
176080	tḥm	tḥm  	tḥm/	tḥm	n. m. sg. cstr. nom.	message	
176081	iwrḏr	iwrḏr	iwrḏr/	ỉwrḏr	PN sg. abs. gen.	ỉwrḏr	
# KTU 2.10 2							
176082	l	l  	l(I)	l (I)	prep.	to	
176083	plsy	plsy	plsy/	plsy	PN sg. abs. gen.	plsy	
# KTU 2.10 3							
176084	rgm	rgm	!!rgm[	/r-g-m/	vb G impv. 2 m. sg.	to say, tell, announce, communicate, inform	DULAT attests the letter-opening formula tḥm PN l PN rgm, “message of PN to PN: say”; Tropper §73.121.2 treats rgm as a G imperative.
# KTU 2.10 4							
176085	yšlmlk	yšlm .lk	!y!šlm[ l(I)+k	/š-l-m/ | l (I)	vb G prefc. 3 m. sg. (juss.) | prep. + 2 m. sg. suff.	to be well | to	DULAT cites yšlm lk, “may peace/well-being be with you,” at KTU 2.10:4.
# KTU 2.10 5							
176086	l	l  	l(I)	l (I)	prep.	to	
176087	trġds	trġds	trġ(n)ds/	trġ(n)ds	PN sg. abs. gen.	trġ(n)ds	DULAT lists trġds as a form of PN trġ(n)ds at 2.10:5; the unwritten n is reconstructed in the analysis.
# KTU 2.10 6							
176088	w	w  	w	w	conj.	and	
176089	l	l  	l(I)	l (I)	prep.	to	
176090	klby	klby	klby/	klby	PN sg. abs. gen.	klby	
# KTU 2.10 7							
176091	šmˤt	šmʿt  	šmˤ[t	/š-m-ʕ/	vb G suffc. 1 c. sg.	to hear, listen (to), notice
176092	ḫti	ḫti	!!ḫt(ʔ&i[/	/ḫ-t-ʔ/	vb G inf. abs. gen.	1) to be ground up	DULAT lists ḫtỉ as the G infinitive; Tropper §75.236 reads an absolute infinitive in paronomasia with following N-stem nḫtu, with genitive function uncertain. Elijah's alternative: or noun ḫt(u&i/ "I heard the trouble they troubled"
# KTU 2.10 8							
176093	nḫtu	nḫtu  	]n]ḫt(ʔ[&u	/ḫ-t-ʔ/	vb N suffc. 3 m. pl.	to be ground up	DULAT lists nḫtủ as N suffix conjugation; Tropper §74.32 analyses this occurrence as /naḫtaʾū/, 3 m. pl., “they were crushed.” Elijah notes that u indicates plural ending.
