id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.30 1							
176730	l	l 	l(I)	l (I)	prep.	to	
176731	mlkt	mlkt  	mlk(t/t	mlkt	n. f. sg. abs. gen.	queen	
176732	umy	u[m]y	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	mother	
# KTU 2.30 2							
176733	rgm	rgm  	!!rgm[	/r-g-m/	vb G impv. 2 f. sg.	to say	
176734	tḥm	tḥm	tḥm/	tḥm	n. m. sg. cstr. nom.	message	
# KTU 2.30 3							
176735	mlk	mlk  	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	king	
176736	bnk	bnk	bn(I)/+k=	bn (I)	n. m. sg. cstr. gen. + 2 f. sg. suff.	son	
# KTU 2.30 4							
176737	l	l  	l(I)	l (I)	prep.	to	
176738	pˤn	pʿn  	pˤn/	pʕn	n. f. du. cstr. gen.	at the feet of	
176739	umy	umy	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	mother	
# KTU 2.30 5							
176740	qlt	qlt  	ql[t	/q-l/	vb G suffc. 1 c. sg.	to fall (down)	
176741	ly	ly  	l(I)~y	l (I)	prep. + encl. -y	to	
176742	umy	u[m]y	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	mother	
# KTU 2.30 6							
176743	yšlm	yšlm  	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg. juss.	to be well, do well, be in peace	
176744	ilm	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	
# KTU 2.30 7							
176745	tġrk	tġrk  	!t!(nġr[:w+k=	/n-ġ-r/	vb G prefc. 3 m. pl. + 2 f. sg. suff.	to protect	
176746	tšlmk	tš[l]mk	!t!šlm[:d:w+k=	/š-l-m/	vb D prefc. 3 m. pl. + 2 f. sg. suff.	to restore / preserve health	
# KTU 2.30 8							
176747	hlny	hlny  	hlny	hlny	deictic adv. functor	behold	
176747	hlny	hlny  	hl~n~y	hlny	deictic adv. functor + encl. -n + encl. -y	behold	DULAT treats hlny as a whole deictic form; Tania independently analyses h-l plus two enclitics.
176748	ˤmny	ʿmny  	ˤm(I)~n+y	ʕm (I)	prep. + encl. -n + 1 c. sg. suff.	with me	
176749	šlm	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace, well-being	
# KTU 2.30 9							
176750	w	w  	w	w	conj.	and	
176751	ṯmt	ṯmt  	ṯm~t	ṯm	adv. + encl. -t	there	
176752	ˤm	ʿm [ ]  	ˤm(I)	ʕm (I)	prep.	with	
176753	umy	[u]my	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	mother	
# KTU 2.30 10							
176754	mnm	mnm  	mnm	mnm	indef. pn. abs. nom.	any(thing)	
176755	šlm	šl[m]	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace, well-being	
# KTU 2.30 11							
176756	w	w  	w	w	conj.	and	
176757	rgm	rgm [ ]  	rgm/	rgm	n. m. sg. abs. acc.	answer, reply	
176758	ṯṯb	[ṯṯb ]  	](š&ṯ]ṯb[	/ṯ-b/	vb Š impv. 2 f. sg.	to send (word), answer	
176759	ly	ly	l(I)+y	l (I)	prep. + 1 c. sg. suff.	to me	
# KTU 2.30 12							
176760	hlny	hlny  	hlny	hlny	deictic adv. functor	behold	
176760	hlny	hlny  	hl~n~y	hlny	deictic adv. functor + encl. -n + encl. -y	behold	DULAT treats hlny as a whole deictic form; Tania independently analyses h-l plus two enclitics.
176761	ˤmn	ʿmn	ˤm(I)~n	ʕm (I)	prep. + encl. -n	with	
# KTU 2.30 13							
176762	mlk	mlk  	mlk(I)/	mlk (I)	n. m. sg. abs. nom.	king	
176763	b	b  	b	b	prep.	in	
176764	tyndr	tyndr 	(ṯ&ty&ndr/	ṯydr	TN sg. abs. gen.	Zitara	DULAT identifies the form as a variant or scribal error for the town ṯydr.
176764	tyndr	tyndr 	(ṯ&ty/ ndr[/	ṯy | /n-d-r/	n. m. sg. abs. gen. | vb G pass. ptcpl. m. sg. abs. gen.	tribute | to be promised	Bordreuil-Pardee instead divides ṯy ndr, “the promised tribute”; DULAT records this dissenting reading.
# KTU 2.30 14							
176765	iṯt	iṯt  	(ʔ&iṯ(y[t	ˀṯy	vb G suffc. 1 c. sg.	to be	
176766	w	w  	w	w	conj.	and	
176767	ht	ht	ht	ht	adv.	now	
# KTU 2.30 15							
176768	ysny	ysny  	ysny/	ysny	PN m. sg. abs. nom.	Ysny	DULAT identifies Ysny as a personal name; it records verbal and common-noun interpretations as dissenting readings.
176769	uḏrh	uḏrh	uḏr(I)/+h=	ủḏr (I)	n. m. sg. cstr. nom. + 3 m. sg. suff.	express messenger, courier	DULAT reads “Ysny is his courier”; Bordreuil-Pardee instead understands “his vow.”
# KTU 2.30 16							
