id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.18 1							
176385	x	[     ]x    	?	?	?	?	
176386	bt	bt[             ]             	b(t(I)/t	bt (I)	n. f. sg.	daughter	
176386	bt	bt[             ]             	bt(II)/	bt (II)	n. m. sg.	house, residence	
176386	bt	bt[             ]             	bt(III)/	bt (III)	n. m. pl. cstr.	length, piece	
# KTU 2.18 2							
176387	n	[     ]n    	?	?	?	?	
176388	šḥr	šḥr  	šḥr/	šḥr	DN m. sg.	Šaḥru, Dawn	DULAT assigns this attestation to the divine name Šaḥru; Burns independently catalogues it, with uncertainty.
176389		[        ]        	?	?	?	?	
# KTU 2.18 3							
176390	x	[     ]x    	?	?	?	?	
176391	al	al  	al(I)	ảl (I)	neg. functor	no, not	DULAT directly cites the sequence ảl ytbʕ as a third-person prohibitive, excluding emphatic ảl(II).
176392	ytbˤ	ytbʿ	!y!tbˤ[	/t-b-ʕ/	vb G prefc. 3 m. sg. juss.	to die	DULAT directly cites ảl ytbʕ under /t-b-ʕ/ sense 2 “die”: “may he not die.”
# KTU 2.18 4							
176393	l	[     ]l  	l(I)	l (I)	prep.	to	DULAT directly cites l ảdn ḥwt, “to the lord of the country.”
176394	adn	adn  	adn(I)/	ảdn (I)	n. m. sg. cstr. gen.	lord, master	
176395	ḥwt	ḥwt	ḥw(t/t	ḥwt	n. f. sg. abs. gen.	country, land	
# KTU 2.18 5							
176396	h	[     ]h    	?	?	?	?	
176397	w	w 	w	w	conj.	and	
176398	yššil	yššil	!y!]š]š(ʔ&il[	/š-ʔ-l/	vb Š prefc. 3 m. sg. juss.	to grant a request, lend	Tropper §§74.622.1, 74.622.3 analyses /yušašʔil-/ as Š-prefix 3ms, “may he grant (my request) / lend”; i writes the weak aleph.
# KTU 2.18 6							
176399	ġlp	[                 ]ġlp[    ]    	ġlp/	ġlp	n. m. pl. cstr.	husk or sea snail	DULAT's exact form is plural construct; its two lexical senses remain unresolved.
