id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.17 1							
176341	l	l 	l(II)	l (II)	adv.	no, not	Negative particle governing yblt; Tropper translates “you have not brought,” and Tania independently retained l(II).
176342	yblt	yblt  	ybl[t=	/y-b-l/	vb G suffc. 2 m. sg.	to carry, bring	Tropper §75.514 parses both occurrences as G suffix-conjugation 2ms.
176343	ḫbṯm	ḫbṯm	ḫbṯ/m	ḫbṯ	adj. m. pl. abs. acc.	emancipated, unattached	Substantivized plural, direct object of yblt: DULAT “emancipated men”; Tropper understands the Ḫupṯu people. Tania's Gpass participle lacks support from those sources.
# KTU 2.17 2							
176344	ap	ap 	ap(I)	ảp (I)	adv./conj.	also, nor	Tropper translates “nor their pay”; Tania independently reads conjunction ảp (I).
176345	ksphm	ksphm	ksp/+hm	ksp	n. m. sg. cstr. acc. + 3 m. pl. suff.	their money, pay	DULAT and Tropper identify this as the workers' pay/deposit.
# KTU 2.17 3							
176346	l	l 	l(II)	l (II)	adv.	no, not	Tropper construes the repeated negative with the 2ms verb.
176347	yblt	yblt	ybl[t=	/y-b-l/	vb G suffc. 2 m. sg.	to carry, bring	Repetition of line 1; Tropper §75.514 G suffix-conjugation 2 m. sg.
# KTU 2.17 4							
176348	w	w 	w	w	conj.	and	
176349	ht	ht  	ht	ht	adv.	and now, look	Presentative-temporal particle introducing the envoy report (Tropper; Notarius).
176350	luk	luk 	l(ʔ&uk[/:pass	/l-ʔ-k/	vb Gpass ptcpl. m. sg. abs. nom.	to be sent	Notarius treats lủk here as an unambiguous G passive participle, contrasted with active lỉk and passive suffix-conjugation lảk; Tropper agrees. Tania independently supplied the participial boundary.
176351	ˤm	ʿm 	ˤm(I)	ʕm (I)	prep.	with	Accompaniment: the envoy is sent with the mission (Tropper; Notarius).
176352	mlakt	ml[akt]	mlak(t/t	mlảkt	n. f. sg. abs. gen.	mission, embassy	Tropper and Notarius translate “mission/embassy.”
# KTU 2.17 5							
