id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.13 1							
176180	l	l  	l(I)	l (I)	prep.	to	DULAT direct attestation: l mlkt ủmy, “to the queen, my mother.”
176181	mlkt	mlkt	mlk(t/t	mlkt	n. f. sg. abs. gen.	1) queen a) in gen	
# KTU 2.13 2							
176182	adtumy	[[adt]]umy    	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	1) mother a) of men and gods	DULAT's exact letter opening reads l mlkt ủmy; the selected lexical word is ủmy in apposition to mlkt.
176183	rgm	rgm	!!rgm[	/r-g-m/	vb G impv. 2 f. sg.	to say	The addressee is mlkt ủmy, “the queen, my mother” (DULAT direct attestation).
# KTU 2.13 3							
176184	tḥm	tḥm  	tḥm/	tḥm	n. m. sg. cstr. nom.	message	DULAT and Tropper §91.11a read “message of the king.”
176185	mlk	mlk	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	1) king a) human sovereign in gen	DULAT's exact citation identifies the human sovereign; Burns's cultic catalogue does not license an onomastic reading here.
# KTU 2.13 4							
176186	bnk	bnk 	bn(I)/+k=	bn (I)	n. m. sg. cstr. gen. + 2 f. sg. suff.	1) son a) of men and gods	DULAT and Tropper §91.11a read “the king, your son.”
# KTU 2.13 5							
176187	l	l  	l(I)	l (I)	prep.	to	
176188	pˤn	pʿn  	pˤn/	pʕn	n. f. du. cstr. gen.	at the feet of	Construct dual in l pʕn ủmy, “at the feet of my mother” (DULAT; Tropper §41.221.12).
176189	umy	umy	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	1) mother a) of men and gods	DULAT direct attestation: l pʕn ủmy qlt.
# KTU 2.13 6							
176190	qlt	qlt  	ql[t	/q-l/	vb G suffc. 1 c. sg.	to fall (down)	Tropper §75.527 lists qlt at 2.13:6 as 1 c. sg.; DULAT translates “I fall.”
176191	l	l  	l(I)	l (I)	prep.	to	Marks the person whose well-being is wished.
176192	umy	umy	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	mother	DULAT direct phrase l ủmy yšlm, “may my mother be well.”
# KTU 2.13 7							
176193	yšlm	yšlm  	!y!šlm[	/š-l-m/	vb G prefc. 3 m. sg. (juss.)	to be well, do well, be in peace	Epistolary wish l ủmy yšlm, “may my mother be well” (DULAT).
176194	ilm	ilm	il(I)/m	ỉl (I)	n. m. pl. abs. nom.	god	Common “gods” in the blessing formula, not an onomastic reading.
# KTU 2.13 8							
176195	tġrk	tġrk  	!t!(nġr[:w+k=	/n-ġ-r/	vb G prefc. 3 m. pl. + 2 f. sg. suff.	to protect	The subject is ỉlm and the feminine object is the queen/mother; compare DULAT's identical blessing ỉlm tġrk tšlmk.
176196	tšlmk	tšlmk	!t!šlm[:d:w+k=	/š-l-m/	vb D prefc. 3 m. pl. + 2 f. sg. suff.	to restore / preserve health	The plural subject is ỉlm and the feminine object is the queen/mother; DULAT assigns D in the same epistolary formula.
# KTU 2.13 9							
176197	hlnky	hln[[k]]y    	hlny	hlny	deictic adv. functor	behold	DULAT cites hlny ʕmny kll šlm; Tropper §§33.321.12, 45.23 reads hlny as the deictic adverb.
176198	ˤmny	ʿmny	ˤm(I)~n+y	ʕm (I)	prep. + encl. -n + 1 c. sg. suff.	2) relationship of accompaniment	Tropper §41.221.3d analyses the expanded base ʕm-n plus 1 c. sg. -y, “with me.”
# KTU 2.13 10							
176199	kll	kll  	kll/	kll	n. m. sg. abs. acc.	totality	Tropper §45.23 reads “in wholly complete fashion.”
176200	šlm	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace	Primary reading: the Akkadian-derived letter formula is a nominal clause, “with me there is complete well-being” (Tropper §§45.23, 92.238b).
176200	šlm	šlm	šlm[	/š-l-m/	vb G suffc. 3 m. sg.	to be well, do well, be in peace	Alternative verbal reading retained because DULAT and the published Cunchillos/Pardee interpretations license it; Tropper §92.238b prefers the noun.
# KTU 2.13 11							
176201	ṯmny	ṯmny  	ṯm~n~y	ṯm	adv. + encl. -n + encl. -y	there	Tropper §81.12d analyses ṯmny as ṯm-n plus enclitic -y in the letter formula.
176202	ˤm	ʿm  	ˤm(I)	ʕm (I)	prep.	2) relationship of accompaniment	“With my mother” in the continuation of the letter formula (Tropper §82.31).
176203	umy	umy	um/+y	ủm	n. f. sg. cstr. gen. + 1 c. sg. suff.	mother	
# KTU 2.13 12							
176204	mnm	mnm  	mnm	mnm	indef. pn.	any(thing)	DULAT exact phrase ʕm ủmy mnm šlm; Tropper §82.31: “whatever well-being there is with my mother.”
176205	šlm	šlm	šlm(I)/	šlm (I)	n. m. sg. abs. nom.	peace	Primary nominal reading in the stereotyped letter formula (Tropper §§76.535, 92.238b).
176205	šlm	šlm	šlm[	/š-l-m/	vb G suffc. 3 m. sg.	to be well, do well, be in peace	Alternative verbal reading retained from DULAT and published interpretations; Tropper prefers the nominal clause.
# KTU 2.13 13							
176206	w	w  	w	w	conj.	and	
176207	rgm	rgm  	rgm/	rgm	n. m. sg. abs. acc.	answer, reply	DULAT cites w rgm ṯṯb ly, “and send me an answer.”
176208	ṯṯb	ṯṯb  	](š&ṯ]ṯb[	/ṯ-b/	vb Š impv. 2 f. sg.	to send (word), an answer, to answer	Tropper §§74.623, 75.527 analyses the assimilated Š-stem feminine singular imperative; it addresses the queen/mother.
176209	ly	ly	l(I)+y	l (I)	prep. + 1 c. sg. suff.	to	Recipient “to me” in w rgm ṯṯb ly (DULAT).
# KTU 2.13 14							
176210	bm	bm  	b~m	b	prep. + encl. -m	with	Tropper §89.233 identifies emphatic -m on the topicalized prepositional phrase.
176211	tyndr	ty[[n]]dr  	(ṯ&tydr/	ṯydr	TN sg. abs. gen.	Zitara	DULAT identifies the town ṯydr.
176211	tyndr	ty[[n]]dr  	(ṯ&ty/ (ndr[/	ṯy | /n-d-r/	n. m. sg. abs. gen. | vb G pass. ptcpl. m. sg. abs. gen.	tribute | to be promised	Alternative Bordreuil-Pardee/Tropper division ṯy ndr, “the promised tribute/gift” (Tropper §§76.534, 89.233; DULAT cross-reference).
# KTU 2.13 15							
176212	iṯt	iṯt  	(ʔ&iṯ(y[t	ˀṯy	vb G suffc. 1 c. sg.	to be	Tropper §§73.313, 75.212.3 treats iṯt as a stative suffix-conjugation form, 1 c. sg., secondarily verbalized from the existential noun/particle; DULAT translates “I am.”
176213	ˤmn	ʿmn  	ˤm(I)~n	ʕm (I)	prep. + encl. -n	2) relationship of accompaniment	Expanded preposition ʕm-n, “with,” not a pronominal suffix (Tropper §89.11).
176214	mlkt	mlkt	mlk(t/t	mlkt	n. f. sg. abs. gen.	1) queen a) in gen	Genitive after ʕmn in DULAT's exact phrase ỉṯt ʕmn mlkt; lexical final -t follows the feminine-overlap rule.
# KTU 2.13 16							
176215	w	w  	w	w	conj.	and	
176216	rgmy	rgmy  	rgm/+y	rgm	n. m. pl. cstr. acc. + 1 c. sg. suff.	word, expression, saying	Object “my words” in DULAT's exact reading w rgmy l lq<ḥ>t.
176217	l	l	l(III)	l (III)	aff. functor	certainly, undoubtedly, yes	Affirmative l: DULAT reads w rgmy l lq<ḥ>t and translates “and indeed she accepted my words”; not the preposition l (I).
# KTU 2.13 17							
176218	qḥlqt	[[qḥ]]lqt    	lq(ḥ[t===	/l-q-ḥ/	vb G suffc. 3 f. sg.	to receive, accept	DULAT reads lq<ḥ>t, “the queen accepted”; Tropper §§21.354.1b, 33.144 identifies omitted ḥ and allows 3/2 f. sg., while the explicit queen subject selects 3 f. sg.
176219	w	w  	w	w	conj.	and	
176220	pn	pn	pn(m/	pnm	n. m. pl. tant. cstr. nom.	1) face	DULAT reads pn mlk, “the king's countenance.”
# KTU 2.13 18							
176221	mlk	mlk  	mlk(I)/	mlk (I)	n. m. sg. abs. gen.	1) king a) human sovereign in gen	DULAT identifies the human sovereign, not an onomastic mlk.
176222	nr	nr 	nr[:w	/n-r/	vb G suffc. 3 m. pl.	to shine	Primary grammatical agreement with pluralia-tantum pn; Tropper §75.527 lists 3 m. pl., with 3 m. sg. as an explicit alternative.
176222	nr	nr 	nr[	/n-r/	vb G suffc. 3 m. sg.	to shine	Alternative semantic agreement with singular “countenance” (Tropper §75.527; DULAT translates “has shone”).
176223	bn	bn	b+n	b	prep. + 1 c. pl. suff.	on, upon	DULAT's exact translation of pn mlk nr bn is “the king's countenance has shone upon us.”
