id	surface form	sign span	morphological parsing	DULAT	POS	gloss	comments
# KTU 2.22 1							
176500	m	[    ]m	?	?	?	?	The older UDB/KTU edition reads the sign m/t; neither reading yields a supported lexeme.
# KTU 2.22 2							
176501	w	[    ]w    	w	w	conj.	and	
176502	ˤrš	ʿrš	ˤrš/	ʕrš	n. f. sg.	bed, stretcher	DULAT directly cites ʕrš at KTU 2.22:2.
# KTU 2.22 3							
176503	dš	[    ]dš  	?	?	?	?	The current transcription reads dš, while the older UDB/KTU edition reads bn; no lexeme accounts securely for dš.
176504	gzl	gzl	gzl/	gzl	PN sg. abs. gen.	Gzl	DULAT identifies PN Gzl in the older reading bn gzl.
# KTU 2.22 4							
176505	iršt	[    ]iršt  	irš(t/t	ỉršt	n. f. sg. cstr.	request, wish	DULAT translates ỉršt ảdty as “the request of my Lady.”
176506	adty	adty	ad(t/t+y	ảdt	n. f. sg. cstr. gen. + 1 c. sg. suff.	my lady	
# KTU 2.22 5							
176507	x	[    ]x	?	?	?	?	
# KTU 2.22 6							
176508	xxxxpln	[    ]x[xxx]pln    	?	?	?	?	DULAT reads PN Pln here, but it does not account for the complete written sequence.
176509	dt	dt 	d/t	d	det. or rel. functor	which, that	DULAT identifies dt as the feminine singular or plural form of relative/determinative d.
176510	b	b[   ]   	b	b	prep.	in	
# KTU 2.22 7							
176511	mpx	[    ]mpx[  ]  	?	?	?	?	
# KTU 2.22 8							
176512	d	[    ]d  	d	d	rel. functor	who, which	
176513	ˤly	ʿly [            ]            	ˤly[	/ʕ-l-y/	vb G suffc. 3 m. sg.	to go up	
# KTU 2.22 9							
176514		[   ]   	?	?	?	?	
# KTU 2.22 10							
176515	x	[    ]x	?	?	?	?	
# KTU 2.22 11							
176516		[   ]   	?	?	?	?	
# KTU 2.22 12							
176517		[   ]   	?	?	?	?	
# KTU 2.22 13							
176518	xt	[    ]xt	?	?	?	?	
# KTU 2.22 14							
176519	d	[    ]d	d	d	det. or rel. functor	the one(s) of, who, which	
